lat,lon
-23.625, -49.875
-23.625, -49.625
-23.625, -49.375
-23.625, -49.125
-23.625, -48.875
-23.625, -48.625
-23.625, -48.375
-23.625, -48.125
-23.625, -47.875
-23.625, -47.625
-23.625, -47.375
-23.625, -47.125
-23.625, -46.875
-23.625, -46.625
-23.625, -46.375
-23.625, -46.125
-23.625, -45.875
-23.625, -45.625
-23.625, -45.375
-23.375, -54.875
-23.375, -54.625
-23.375, -54.375
-23.375, -54.125
-23.375, -53.875
-23.375, -53.625
-23.375, -53.375
-23.375, -53.125
-23.375, -52.875
-23.375, -52.625
-23.375, -52.375
-23.375, -52.125
-23.375, -51.875
-23.375, -51.625
-23.375, -51.375
-23.375, -51.125
-23.375, -50.875
-23.375, -50.625
-23.375, -50.375
-23.375, -50.125
-23.375, -49.875
-23.375, -49.625
-23.375, -49.375
-23.375, -49.125
-23.375, -48.875
-23.375, -48.625
-23.375, -48.375
-23.375, -48.125
-23.375, -47.875
-23.375, -47.625
-23.375, -47.375
-23.375, -47.125
-23.375, -46.875
-23.375, -46.625
-23.375, -46.375
-23.375, -46.125
-23.375, -45.875
-23.375, -45.625
-23.375, -45.375
-23.375, -45.125
-23.125, -54.875
-23.125, -54.625
-23.125, -54.375
-23.125, -54.125
-23.125, -53.875
-23.125, -53.625
-23.125, -53.375
-23.125, -53.125
-23.125, -52.875
-23.125, -52.625
-23.125, -52.375
-23.125, -52.125
-23.125, -51.875
-23.125, -51.625
-23.125, -51.375
-23.125, -51.125
-23.125, -50.875
-23.125, -50.625
-23.125, -50.375
-23.125, -50.125
-23.125, -49.875
-23.125, -49.625
-23.125, -49.375
-23.125, -49.125
-23.125, -48.875
-23.125, -48.625
-23.125, -48.375
-23.125, -48.125
-23.125, -47.875
-23.125, -47.625
-23.125, -47.375
-23.125, -47.125
-23.125, -46.875
-23.125, -46.625
-23.125, -46.375
-23.125, -46.125
-23.125, -45.875
-23.125, -45.625
-23.125, -45.375
-23.125, -45.125
-23.125, -44.875
-22.875, -55.125
-22.875, -54.875
-22.875, -54.625
-22.875, -54.375
-22.875, -54.125
-22.875, -53.875
-22.875, -53.625
-22.875, -53.375
-22.875, -53.125
-22.875, -52.875
